Author,Rating,Title,Date,Body
"Suman Nandy, Sambalpur",3.0 out of 5 stars,3.0•Just okay,"Reviewed in India on · Oct, 2018","The product is good. Sturdy, stable design. Great light. Perfect alternative at studies, kitchen, bathroom, garage, lawn during power cuts. Eveready gets full marks for these.  Fipkart had to take the..."
Fair,3.0 out of 5 stars,3.0•Fair,"Reviewed in India on · Nov, 2016",This is good product but its front open system are not good and sometime its light is dimm due to not a proper connection
"Govind, Bangalore",3.0 out of 5 stars,3.0•Good product,"Reviewed in India on · Aug, 2015","good, nice product and the backup is also considerable good..will recommend this product to others as its very durable and it does its expected job to the core.."
"Prasad, Hyderabad",3.0 out of 5 stars,3.0•LEDs are not pure white,"Reviewed in India on · Apr, 2015","Hi! Purchased this product from Flipkart recently.   Product is good, strong and comfortable to carry. But the quality of the light is not up to the mark. It is not very bright. Even colour of light i..."
"Sudip Mondal, Bangalore",3.0 out of 5 stars,"3.0•Good product, bright LEDs, Illuminates well","Reviewed in India on · Mar, 2015","We do not experience long power cuts, 30 - 60 min every day once / twice a day, so I cannot comment on the battery backup.   I am yet to figure out how to rotate the main light to be used as table lam..."
Nice Product to buy..,3.0 out of 5 stars,3.0•Nice Product to buy..,"Reviewed in India on · Dec, 2013",Recently bought this product HL - 52 LED light thru flipkart. It was nice product to handle. Till now no cons... Price i bought (1500.00) was better than market price (1600.00)...
"Anupama K V, Bengaluru",4.0 out of 5 stars,4.0•Value-for-money,"Reviewed in India on · Oct, 2020",It's good .. we are using it since 20 days.. but only thing is we are not able to register for warranty. Eveready says only seal n sign copy of warranty card is eligible but we have not received the s...
"Gaurav Ajmera, Bangalore",4.0 out of 5 stars,4.0•Worth the price,"Reviewed in India on · Feb, 2016",Finalized on this after a bit of research online & visiting stores nearby. Did not come across a single product as good and reasonable as this. Pretty bright - both the LEDs & Torch. Bought it a month...
"Alish Thapa, Tinsukia District",4.0 out of 5 stars,4.0•Very Good,Reviewed in India on · 2 months ago,Super
"Prashanth Nampelly, Sircilla",4.0 out of 5 stars,4.0•Worth the money,"Reviewed in India on · Oct, 2022",I bought several emergency lights this is the best emergency light ever but it is also some disadvantages.1st I intially charged 24 hours its is giving the power backup of light is awsome it gives 14 ...
"Akshith Shetty, Bangalore",5.0 out of 5 stars,5.0•Just wow!,"Reviewed in India on · Jun, 2018","I have been using this for some time now. This product works great. Capable enough to light a average size room, good batteries as well. Would recommend going for a brighter higher rating product if y..."
excellent emergency light,5.0 out of 5 stars,5.0•excellent emergency light,"Reviewed in India on · Jan, 2015",This light is great. its backup is good and also throws light till long distance. at such price nothing worthy and trustable product is available at market. this lights are not available at local mark...
"Flipkart Customer, Kolkata",3.0 out of 5 stars,3.0•Just okay,"Reviewed in India on · Oct, 2020",Today I get this product  Now its quite good but don't know how many days this product's lasting Lets see
"Barbi, Jorhat",5.0 out of 5 stars,5.0•Excellent,"Reviewed in India on · Oct, 2020",Received in good condition....best in performance....built quality is strong....happy with the purchase....thank you flipkart
"Suresh Guntur, Chennai",5.0 out of 5 stars,5.0•Brilliant,"Reviewed in India on · May, 2025","This is Amazing product, outperforms its competitors, really give more than 10 Hours of Backup in full lighting. This is very dependable product. i bought the same light 8 Years before, still we are u..."
"DIWAKAR DAS, Chandrapura",5.0 out of 5 stars,5.0•Just wow!,"Reviewed in India on · Oct, 2023",Nice performance
"Ashok Kumar, Lucknow",5.0 out of 5 stars,5.0•Worth every penny,"Reviewed in India on · Oct, 2022",Nice
"Asharafali Dragoni, Muthuthala",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on · Apr, 2022",Good quality
"Vikrant  Raj, Samastipur",5.0 out of 5 stars,5.0•Super!,"Reviewed in India on · Oct, 2020",Awesome Bought it for Rs1073 in Big Billion days.  It lights the whole room
"Rahul Soni, Mandasur",5.0 out of 5 stars,5.0•Terrific,"Reviewed in India on · Aug, 2020","Good quality, durable and wide range light.. But primary has 24 and secondary has 9 LEDs instead of mentioned 39 LEDs in product description."
"Kaushik Majumder, Gakulnagar",4.0 out of 5 stars,4.0•Good quality product,"Reviewed in India on · Apr, 2021",High quality emergency light with bright leds. I like that value for money.
"Partha  Baroi, Kolkata",3.0 out of 5 stars,3.0•Nice,"Reviewed in India on · Aug, 2024","It's good, sturdy, but there isn't any auto cut off while recharging."
"Rijo varghese kilichumalayil, Navi Mumbai",3.0 out of 5 stars,3.0•Nice,"Reviewed in India on · May, 2024",Am writing the review after 5 years it's an excellent product . I prefer to buy it once more
"Priyanka  Maheshwari, Kalimpong",4.0 out of 5 stars,4.0•Nice product,"Reviewed in India on · Jun, 2021",Nice product grabbed it at just 1424 . Let's see how long does it works.
"Flipkart Customer, Begusarai",4.0 out of 5 stars,4.0•Nice product,"Reviewed in India on · Oct, 2020",it is not solar chargeable
