Author,Rating,Title,Date,Body
"Flipkart Customer, Palamaner",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 4 months ago,This product good quality
"Flipkart Customer, Kozhikode",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 4 months ago,Excellent 👌
"Flipkart Customer, Vasco Da Gama",3.0 out of 5 stars,3.0•Good,Reviewed in India on · 4 months ago,Not so good
"Raj kumar, Chatra",3.0 out of 5 stars,3.0•Decent product,Reviewed in India on Decent product,Okk
"Flipkart Customer, Chidambaram",5.0 out of 5 stars,5.0•Wonderful,Reviewed in India on · 4 months ago,Enjoy
"Shaikh Wasim, Aurangabad",2.0 out of 5 stars,2.0•Moderate,Reviewed in India on · 4 months ago,Battery backup very low
"Syed Akbar Kabir, Jangipur",1.0 out of 5 stars,1.0•Worthless,"Reviewed in India on , Jangipur",very poor battery life. waste of money.
"Biswaranjan Palatasingh, Atchutapuram Apsez",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 4 months ago,Charg in 1 hour lasting
"Kiran Vishwakarma, Rishikesh",5.0 out of 5 stars,5.0•Fabulous!,Reviewed in India on · 4 months ago,Nice light in this cost
"SOUGATA  KALI, Medinipur",5.0 out of 5 stars,5.0•Simply awesome,Reviewed in India on · 4 months ago,Ex
"Nanjunda  N, Shimoga District",3.0 out of 5 stars,3.0•Good,Reviewed in India on · 4 months ago,Focus and britness is good company clim 4 hours run time when I used it it is half of it disappointed 😔
"umesh borah, Nagaon",5.0 out of 5 stars,5.0•Super!,Reviewed in India on · 4 months ago,Best quality.... thank you Eveready
"Kumar Gaurav, Hazaribagh",2.0 out of 5 stars,2.0•Could be way better,Reviewed in India on · 4 months ago,Backup only one h
"Mohammad sageer Khan, Hyderabad",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 4 months ago,Better for use
"Neetu Dhanothia, Darjeeling District",5.0 out of 5 stars,5.0•Perfect product!,Reviewed in India on · 5 months ago,It is a good product. I ordered 4 pieces and all were delivered very nicely
"Neeraj  Kumar, Aurangabad",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 5 months ago,Very nice
"PRAKASH BHANDARI, Supaul",3.0 out of 5 stars,3.0•Decent product,Reviewed in India on Decent product,Size is too big
"piyush  sachan, Ghatampur",1.0 out of 5 stars,1.0•Useless product,Reviewed in India on · 5 months ago,Very bad battery backup only 0.5 hours so no bought this product
"Chandregowda Chandru, Mysuru",3.0 out of 5 stars,3.0•Nice,Reviewed in India on · 5 months ago,Good
"Sayooj Me, Vadakara",4.0 out of 5 stars,4.0•Really Nice,Reviewed in India on · 5 months ago,Ok good
"Mukesh kumar Jha, Delhi Division",3.0 out of 5 stars,3.0•Does the job,Reviewed in India on · 5 months ago,Very good product
"Md Sameer Ansari, Samastipur District",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 5 months ago,Good product 👌
"Deepak Sharma, Pathankot",5.0 out of 5 stars,5.0•Excellent,Reviewed in India on · 5 months ago,Gr8 Product
"Harish Pardeshi, Pune",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 5 months ago,Awesome 👌 product from Eveready
"Flipkart Customer, Kamrup Rural",5.0 out of 5 stars,5.0•Mind-blowing purchase,Reviewed in India on · 5 months ago,Loved it so much.....thanks for the best price....
"Rakesh Barman, Mathabhanga",5.0 out of 5 stars,5.0•Simply awesome,Reviewed in India on · 5 months ago,Still working after 1 year ✅
"Virendra Nagar, Mandideep",1.0 out of 5 stars,1.0•Waste of money!,Reviewed in India on · 5 months ago,"Working only 20 days, after dead, not working"
"Sugumar R, Thathaiyangarpet",5.0 out of 5 stars,5.0•Great product,Reviewed in India on · 5 months ago,Good product Value for money
"Manoj kumar  Sarkar, Balurghat",5.0 out of 5 stars,5.0•Highly recommended,Reviewed in India on · 5 months ago,Very good for to use.
"Flipkart Customer, Chengalpattu",5.0 out of 5 stars,5.0•Mind-blowing purchase,Reviewed in India on · 5 months ago,Good one for emergency. Worth buying .
"Flipkart Customer, Madurai",3.0 out of 5 stars,3.0•Does the job,Reviewed in India on · 5 months ago,Ok
"Amirtha Sk, Jayankondam",1.0 out of 5 stars,1.0•Worst experience ever!,Reviewed in India on · 6 months ago,Not working properly
"Hp Solanki Pcs Aligarh, Khurja",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 6 months ago,Best product charge fast
"Balamurugan R Ramasamy, Chennai",4.0 out of 5 stars,4.0•Really Nice,Reviewed in India on · 6 months ago,Super
"Sanjay Kumar nath, Lower Assam Division",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 6 months ago,Ex
"Divya Mirash, New Mahe",5.0 out of 5 stars,5.0•Perfect product!,Reviewed in India on · 6 months ago,I love this ❤️umma 😍thanks my daughter very happy
"Flipkart Customer, Ahmadnagar District",5.0 out of 5 stars,5.0•Highly recommended,Reviewed in India on · 6 months ago,good
"Parva K.S, Sagar",5.0 out of 5 stars,5.0•Mind-blowing purchase,Reviewed in India on · 6 months ago,GOOD
"Flipkart Customer, Central Division",2.0 out of 5 stars,2.0•Slightly disappointed,Reviewed in India on · 6 months ago,Seriously this troch Batter backup is only for 30 to 40 min .. horrible experience
"Flipkart Customer, Greater Noida",1.0 out of 5 stars,1.0•Did not meet expectations,Reviewed in India on · 6 months ago,Not good so baid product
"Sourav Bhattacharya, Maldah District",2.0 out of 5 stars,2.0•Moderate,Reviewed in India on · 6 months ago,Good product but not pocket size
"Sarada das Banty, Jagatsinghapur District",1.0 out of 5 stars,1.0•Absolute rubbish!,Reviewed in India on · 6 months ago,No charging light
"Shamshad  Alam, Ranchi",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 6 months ago,Nice product
"Flipkart Maninder singh, Mansa",5.0 out of 5 stars,5.0•Super!,Reviewed in India on · 6 months ago,Very nice 👍
"Satisha JP, Raichur District",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 6 months ago,Nice
"Ramesh Jangir, Dholka",5.0 out of 5 stars,5.0•Simply awesome,Reviewed in India on Ramesh Jangir,Good product
"syed sha hassan saqqaf, Mysuru",2.0 out of 5 stars,2.0•Slightly disappointed,Reviewed in India on · 6 months ago,Not properly showing full charging or not light
"Flipkart Customer, Bankura",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 6 months ago,Good product
"Vysakh Preman, Ernakulam",4.0 out of 5 stars,4.0•Wonderful,Reviewed in India on · 6 months ago,Good
"Vimal Singh, Bhagalpur Division",4.0 out of 5 stars,4.0•Good quality product,Reviewed in India on · 6 months ago,Nice torch
"SANTOSH  KUMAR, Patna",4.0 out of 5 stars,4.0•Really Nice,Reviewed in India on · 6 months ago,Loking good
"Nagendra Kumar, Madhubani District",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 6 months ago,Very
"Deepak Bhoj, Kalyan",3.0 out of 5 stars,3.0•Nice,Reviewed in India on · 6 months ago,Light illumination is very low but the  Battery Backup is good.
